RR,ActIndustryDistress1,ActIndustryDistress2,Senior secured,Senior unsecured,Senior subordinated,Subordinated \& Junior,Equity value,Default barrier,Net income margin,Total assets,Number of employees,Volume,Trades,Amihud,Price dispersion,Offering amount,Time to maturity,Coupon,Rating,CDS availability,Covenants,Roll,Corwin Schultz,Manufacturers inventories to sales ratio,Number of civilians unemployed for less than 5 weeks,30 year conventional mortgage rate,3 month commercial paper minus federal funds rate,Materials,Communication Services,Consumer Discretionary,Industrials,Consumer Staples,Financials,Energy,Health Care,Utilities,Information Technology,Real Estate,CBOE DJIA Volatility Index,NASDAQ 100 Index return,CBOE NASDAQ 100 Volatility Index,Russell 2000 Price Index return,Russell 2000 Vol 1m,Wilshire US Small-Cap Price Index,Wilshire Small Cap Vol
0.1890095238095238,0,0,0,1,0,0,1.28712,0.25820506870858795,-0.7762568581345873,3878.7,11500,63937.0,0.45,0.001920122887864825,0.0005423623217593823,105000.0,0,10.375,20.0,0,1,10.863897886077128,1.0198529278663926,1.2,2685,5.85,0.11,1,0,0,0,0,0,0,0,0,0,0,16.64,0.017139898632077877,24.49,0.019029775868149468,21.04,3056.03,808.3577142541172
20.553472222222222,0,1,0,1,0,0,-135.215,1.2697055138975635,-0.5641988024370233,276.991,187,354208427.0833333,0.7,0.014884902848808746,0.04813232748199425,160000.0,2567,14.0,20.0,0,1,0.06529455195362194,0.034473585980776676,1.2,2685,5.85,0.08,0,1,0,0,0,0,0,0,0,0,0,15.97,0.017139898632077877,23.89,0.019029775868149468,21.04,3137.1,974.7492100931031
54.315958190094214,0,1,0,1,0,0,-366.575,1.0818834855978596,-0.6717506713361137,1529.356,2442,98292238.23529412,5.8,0.08186864627633345,0.015970482733802277,225000.0,1369,10.0,19.0,0,1,0.06038327645959803,0.016544675059986767,1.2,2685,5.66,-0.01,0,1,0,0,0,0,0,0,0,0,0,14.87,0.017139898632077877,22.64,0.019029775868149468,21.05,3178.04,825.9876625474328
54.79887050281696,0,1,0,1,0,0,-366.575,1.0818834855978596,-0.6717506713361137,1529.356,2442,142748011.71764705,6.6,0.03538824451377097,0.0124826233118879,601045.0,1369,11.125,19.0,0,1,0.02407461546088586,0.01630536920994618,1.2,2685,5.66,-0.01,0,1,0,0,0,0,0,0,0,0,0,14.87,0.017139898632077877,22.64,0.019029775868149468,21.05,3178.04,825.9876625474328
56.66628787878788,0,1,0,1,0,0,-366.575,1.0818834855978596,-0.6717506713361137,1529.356,2442,245053718.1818182,1.65,0.001248387571325865,0.010744462124899904,567000.0,1492,9.8,19.0,0,1,0.03870548531178956,0.0051153233360663915,1.2,2685,5.66,-0.01,0,1,0,0,0,0,0,0,0,0,0,14.87,0.017139898632077877,22.64,0.019029775868149468,21.05,3178.04,825.9876625474328
55.43656723484849,0,1,0,1,0,0,-366.575,1.0818834855978596,-0.6717506713361137,1529.356,2442,317834183.3333333,2.9,0.07557649711846394,0.02315492668628288,256755.0,1629,11.0,19.0,0,1,0.0,0.028738738052930472,1.2,2685,5.66,-0.01,0,1,0,0,0,0,0,0,0,0,0,14.87,0.017139898632077877,22.64,0.019029775868149468,21.05,3178.04,825.9876625474328
55.27363504575163,0,1,0,1,0,0,-366.575,1.0818834855978596,-0.6717506713361137,1529.356,2442,199951038.23541176,5.0,0.1689589517193079,0.01085839266418158,375000.0,2192,10.125,19.0,0,1,0.09074130364218988,0.02376085658449294,1.2,2685,5.66,-0.01,0,1,0,0,0,0,0,0,0,0,0,14.87,0.017139898632077877,22.64,0.019029775868149468,21.05,3178.04,825.9876625474328
31.874714285714283,0,0,0,0,1,0,2.40932,0.3551328547535161,-0.06800396724427112,173.987,1889,4883158.0,0.9,1.007792755061458,0.09237240561315048,100000.0,0,11.625,20.0,0,1,0.3930756157647654,0.25865556027891196,1.2,2685,5.66,0.02,0,0,1,0,0,0,0,0,0,0,0,14.18,0.017139898632077877,20.49,0.019029775868149468,21.29,3126.56,998.5634375535956
39.41820790816327,0,0,1,0,0,0,0.0,,,0.0,0,315738794.64285713,2.15,0.003742436709065331,0.016936726287586214,150000.0,1659,11.0,19.0,0,0,0.03215836874737084,0.007495867940920785,1.2,2685,5.68,0.01,1,0,0,0,0,0,0,0,0,0,0,15.43,0.017139898632077877,25.06,0.019029775868149468,22.5,3190.45,1024.2099733326302
91.04291666666667,0,1,0,0,1,0,207.41877,0.8088292899849586,-0.2993965480232421,717.351,939,334507407.5,2.75,0.0010696251068514162,0.007878971128678363,400000.0,2102,13.375,20.0,0,1,0.02129424470448429,0.008497123150536825,1.2,2685,5.68,0.01,0,1,0,0,0,0,0,0,0,0,0,15.43,0.017139898632077877,25.06,0.019029775868149468,22.5,3190.45,1024.2099733326302
